,wavelength,max,min
0,650,199.68594647850517,201.0863553786322
1,660,371.29375430683496,375.1006258791643
2,670,544.1528557516531,551.6346232480795
3,680,803.621832305387,814.7375430683444
4,690,1082.6505156811497,1093.7186505156817
5,700,1498.7386934558917,1518.0690198356451
6,710,1791.5275859516041,1816.2383261291732
7,720,2101.9894403535463,2131.0759586088293
8,730,2359.7740445234144,2384.5959451686567
9,740,2319.907225231074,2350.918991075954
10,750,2489.9421537305047,2519.212153104056
11,760,2523.128574601496,2551.4604955778436
12,770,2788.9799468088145,2826.5902729607683
13,780,3022.5445957412912,3060.1835392071466
14,790,3295.8514724391093,3327.115816689735
15,800,3226.8077850483783,3261.5259059301893
16,810,3347.7171197029447,3389.4624113717473
17,820,2985.829388415255,3024.708301583775
18,830,3025.8750656347293,3063.0454653659253
19,840,2636.899098483424,2667.503837852306
20,850,2490.6165541906616,2521.492824884824
21,860,2392.5310530602005,2414.173914677691
22,870,2159.43814047257,2187.216104286617
23,880,1903.1434692726975,1920.903288855482
24,890,1521.0956199848517,1536.7694965061255
25,900,1318.8679696798847,1338.4154231660712
26,910,1157.10294146122,1165.851074928955
27,920,1161.1341408826106,1171.5976274680665
28,930,879.7788636221266,890.3353265790786
29,940,692.6338669536938,697.2394947406784
30,950,485.64131599779,491.9223693427411
31,960,285.27578889819034,288.25119794069184
32,970,228.84001754056285,230.73364655766485
33,980,212.71464466123396,212.42421736629638
34,990,191.997464591413,194.7218898247652
35,1000,172.56324568747038,172.74500122442234
