Wavelength (nm),PC,PH,PI,PK,WH_lie0_1,WH_lie0_2,,,,,,,
539.5939,316,315.666666666667,315,323.333333333333,311,317,,,,,,,
539.9378,318.666666666667,315.666666666667,314.666666666667,327.333333333333,321,316,,,,,,,
540.2817,317.666666666667,312.333333333333,313.333333333333,323.333333333333,321,323,,,,,,,
540.6256,314.333333333333,314,316,324.666666666667,316,322,,,,,,,
540.9695,314,317,318.333333333333,324.666666666667,313,320,,,,,,,
541.3134,315.666666666667,314.666666666667,313.666666666667,324.333333333333,321,316,,,,,,,
541.6573,313.333333333333,314.333333333333,316.666666666667,325.666666666667,316,319,,,,,,,
542.0012,316.666666666667,315,313.666666666667,322,317,315,,,,,,,
542.3451,315.666666666667,319.666666666667,315.333333333333,322.333333333333,320,320,,,,,,,
542.689,312.333333333333,315,316.333333333333,326.666666666667,312,319,,,,,,,
543.0329,318,314.333333333333,317,325.666666666667,316,323,,,,,,,
543.3768,315,314,316,325.666666666667,319,320,,,,,,,
543.7207,313,318,318.666666666667,327,316,316,,,,,,,
544.0646,312,316.333333333333,315,325,318,319,,,,,,,
544.4085,314.666666666667,318.333333333333,318,328,320,317,,,,,,,
544.7524,316.333333333333,316.666666666667,316.333333333333,323,320,314,,,,,,,
545.0963,316.666666666667,315.666666666667,314.666666666667,325.666666666667,317,319,,,,,,,
545.4402,317,317,315.333333333333,327.666666666667,318,319,,,,,,,
545.7841,318,317.666666666667,314,324.666666666667,319,316,,,,,,,
546.128,313.666666666667,320.333333333333,317,327.333333333333,316,317,,,,,,,
546.4719,315.333333333333,321,317.333333333333,323.666666666667,324,317,,,,,,,
546.8158,312,318,316.333333333333,325,320,319,,,,,,,
547.1597,315,317,316.333333333333,325.666666666667,315,315,,,,,,,
547.5036,315,314.666666666667,318.666666666667,326.666666666667,317,316,,,,,,,
547.8475,316.333333333333,315.333333333333,315.333333333333,325.333333333333,322,318,,,,,,,
548.1914,314.333333333333,318.333333333333,317.666666666667,323.666666666667,318,324,,,,,,,
548.5353,317,314,316.666666666667,324.333333333333,313,318,,,,,,,
548.8792,314,316.333333333333,315.666666666667,324.666666666667,311,322,,,,,,,
549.2231,315.666666666667,315,316,327.666666666667,316,317,,,,,,,
549.567,315,317.333333333333,315.666666666667,330.666666666667,318,326,,,,,,,
549.9109,319,319,317,328,318,317,,,,,,,
550.2548,316.333333333333,316.666666666667,320,325,319,324,,,,,,,
550.5987,317.666666666667,314.333333333333,316.666666666667,327,317,319,,,,,,,
550.9426,317.333333333333,314.333333333333,315,322,320,318,,,,,,,
551.2865,317.333333333333,317.333333333333,316.666666666667,322.333333333333,319,315,,,,,,,
551.6304,314.666666666667,316.333333333333,315.333333333333,330.666666666667,324,315,,,,,,,
551.9743,317.333333333333,318,315.666666666667,325.333333333333,317,313,,,,,,,
552.3182,316.333333333333,319.666666666667,314,330,320,321,,,,,,,
552.6621,316.333333333333,317.666666666667,317.666666666667,327.333333333333,317,312,,,,,,,
553.006,316.333333333333,319.666666666667,318,324.333333333333,312,327,,,,,,,
553.3499,318.666666666667,318,314.666666666667,325.666666666667,324,316,,,,,,,
553.6938,315.333333333333,317,316,326.333333333333,317,318,,,,,,,
554.0377,317,319.333333333333,320,326,320,316,,,,,,,
554.3816,319.666666666667,315.666666666667,320.666666666667,328,315,321,,,,,,,
554.7255,316,314.333333333333,316.333333333333,330,319,326,,,,,,,
555.0694,318.333333333333,319,317.666666666667,329.666666666667,318,314,,,,,,,
555.4133,316.333333333333,316.333333333333,319,328.333333333333,322,323,,,,,,,
555.7572,315,319,316,330,314,320,,,,,,,
556.1011,314.333333333333,315,315,329.333333333333,318,323,,,,,,,
556.445,314.333333333333,317.333333333333,313.666666666667,330.666666666667,318,321,,,,,,,
556.7889,317.666666666667,317,317.666666666667,325.666666666667,321,319,,,,,,,
557.1328,314.666666666667,322.666666666667,317.333333333333,329.333333333333,319,324,,,,,,,
557.4767,320,313.666666666667,319.333333333333,326.333333333333,315,323,,,,,,,
557.8206,317.333333333333,317.666666666667,317,330.333333333333,316,318,,,,,,,
558.1645,318.666666666667,316.333333333333,318.333333333333,329.333333333333,316,324,,,,,,,
558.5084,314.333333333333,318,318,330.333333333333,317,322,,,,,,,
558.8523,318.666666666667,315.333333333333,318.333333333333,328.666666666667,320,330,,,,,,,
559.1962,321,320.666666666667,314.666666666667,328.666666666667,327,324,,,,,,,
559.5401,318.666666666667,317.666666666667,314,327.333333333333,322,316,,,,,,,
559.884,320.666666666667,320.666666666667,318,329.666666666667,320,320,,,,,,,
560.2279,317.666666666667,315.666666666667,318.666666666667,332,320,318,,,,,,,
560.5718,315.666666666667,316.666666666667,316,330,321,323,,,,,,,
560.9157,315,320.666666666667,315.333333333333,333.666666666667,321,321,,,,,,,
