wl,C,H,I,K
650,1.7531943967696862e-15,3.395634144544601e-11,9.856940507888794e-10,7.038222789764404e-09
660,2.6626716135069727e-14,1.8403282389044762e-11,8.758667707443238e-10,5.625065803527832e-09
670,2.3634356912225484e-12,8.4971122443676e-11,1.1029040813446046e-09,1.0159651756286621e-08
680,1.3690494597540238e-14,9.27788857370615e-12,1.5248374938964844e-09,9.822010993957519e-09
690,6.2886797422834205e-15,4.1752908378839495e-11,2.04616117477417e-09,1.0240732192993164e-08
700,8.407762506976724e-13,4.8923499882221225e-11,2.0060691833496095e-09,1.2205355644226075e-08
710,3.111406462267041e-12,5.403805151581764e-11,2.959872007369995e-09,1.4170469284057617e-08
720,2.099110570270568e-13,1.6941891610622407e-10,3.504133939743042e-09,1.3790678977966308e-08
730,2.96995640383102e-14,1.1315973103046418e-10,3.1393425464630125e-09,1.5282257080078124e-08
740,3.5313807893544434e-13,9.791076183319091e-11,2.3963494300842285e-09,6.512614250183105e-09
750,4.415897652506829e-12,7.151259779930114e-10,5.509664058685303e-09,1.953162384033203e-08
760,5.646391655318439e-13,4.762358069419861e-10,6.196342468261719e-09,2.5905103683471678e-08
770,7.334674708545208e-12,5.808927416801452e-10,8.521127700805664e-09,3.724377059936524e-08
780,5.6640421971678736e-12,4.4417664408683774e-10,1.020622444152832e-08,3.531637573242187e-08
790,2.2320304065942765e-11,5.583034753799438e-10,1.017359447479248e-08,3.1760820388793944e-08
800,1.529396418482065e-11,5.809760093688965e-10,1.2385254859924317e-08,3.461594009399414e-08
810,1.2169441906735302e-12,9.157194495201111e-10,1.0001031875610351e-08,3.6197967529296877e-08
820,1.2781726196408272e-11,7.41025686264038e-10,1.1409029006958008e-08,4.28687629699707e-08
830,3.573039174079895e-11,7.81704843044281e-10,1.5943803787231446e-08,4.505585479736328e-08
840,2.3619208484888076e-11,9.839887619018554e-10,1.6351572036743163e-08,4.779343795776367e-08
850,3.2358232419937848e-12,8.90074372291565e-10,1.4995309829711913e-08,3.7508255004882813e-08
860,5.6098708882927895e-12,9.81853723526001e-10,1.6631759643554688e-08,4.975901412963867e-08
870,5.567393824458122e-11,1.0575430393218994e-09,2.016175079345703e-08,4.64473762512207e-08
880,2.088543027639389e-12,5.883916020393371e-10,1.081437873840332e-08,2.5123903274536133e-08
890,4.1693709790706635e-11,6.133863925933838e-10,1.2577916145324706e-08,2.533795166015625e-08
900,2.1216992754489185e-12,3.361792117357254e-11,1.7509618997573853e-09,3.461411714553833e-09
910,2.8067603352610603e-17,3.4516790765337647e-13,4.263937473297119e-11,2.9799193143844604e-11
920,2.034519240260124e-11,2.8851401805877687e-10,6.005322933197021e-09,1.6332651138305663e-08
930,5.504320934414864e-11,1.7553689479827881e-09,3.6152481079101564e-08,9.206240081787109e-08
940,1.2234780192375184e-10,2.7698531150817873e-09,3.0440521240234377e-08,9.491529846191406e-08
950,8.792194724082947e-11,3.315667152404785e-09,3.6997161865234374e-08,1.3309419250488282e-07
960,1.5496456623077392e-10,6.145203590393067e-09,4.660603332519531e-08,1.1731219482421875e-07
970,2.2659847140312195e-10,6.615718841552734e-09,4.726579284667969e-08,1.2464552307128905e-07
980,4.1056957840919494e-10,6.195451736450195e-09,5.039931488037109e-08,1.448677978515625e-07
990,2.5039491057395933e-10,6.871555328369141e-09,5.2342353820800783e-08,9.329008483886719e-08
1000,9.881111234426499e-11,3.952905654907226e-09,1.6925140380859374e-08,7.347297668457031e-08
