,wl,C,H,I,K,E,A,N,B
0,601,0.0579607884023649,0.0579607884023649,0.0579607884023649,0.0340922663186165,0.20815102361736598,0.4429498174957174,0.24436173028749616,0.47888967523447296
1,602,0.0576981815799192,0.0576981815799192,0.0576981815799192,0.0338544253454345,0.20861971061183315,0.44392848476399577,0.24490907293801237,0.47994640318639026
2,603,0.0580452845242243,0.0580452845242243,0.0580452845242243,0.0341628008838288,0.20833796333220916,0.443366216142351,0.2445840589947101,0.4793412045685453
3,604,0.0578749546295373,0.0578749546295373,0.0578749546295373,0.0340471675333806,0.20778711047554857,0.44256988760801313,0.24399534723263838,0.4785072966370083
4,605,0.0576127569730864,0.0576127569730864,0.0576127569730864,0.0338485570127312,0.2074355234829833,0.44169300135052203,0.2435627491270705,0.4775500069616407
5,606,0.0574868599340133,0.0574868599340133,0.0574868599340133,0.0337301649531076,0.20735255170748754,0.4418455675633606,0.24351609854061912,0.47773862322019106
6,607,0.0579748998899545,0.0579748998899545,0.0579748998899545,0.0342238236293574,0.20637411876688233,0.44014199372109575,0.24242583776551516,0.4759240511579805
7,608,0.0577541154218316,0.0577541154218316,0.0577541154218316,0.0340351558355699,0.206185993669192,0.44009617332469964,0.24225966284718908,0.47590001691763034
8,609,0.0575987967977174,0.0575987967977174,0.0575987967977174,0.0339336511965101,0.20628402042990918,0.4398850588915359,0.24231001754211626,0.47564158288051595
9,610,0.0576392401570179,0.0576392401570179,0.0576392401570179,0.0339399046159221,0.20626491117394716,0.4397081762566773,0.24226657186777786,0.47544055747383995
10,611,0.0572588093980596,0.0572588093980596,0.0572588093980596,0.0336204203183274,0.20581789804293432,0.4394134999599087,0.241843053594865,0.47516919044020056
11,612,0.0568130755144701,0.0568130755144701,0.0568130755144701,0.0331950403464278,0.20598904000576718,0.4392734878885038,0.24196620162952376,0.47498155147005816
12,613,0.0570772512040083,0.0570772512040083,0.0570772512040083,0.0334780710360386,0.20612472834793866,0.4398719859140113,0.242173261747065,0.47565089067355654
13,614,0.0571494538669804,0.0571494538669804,0.0571494538669804,0.0335858223518788,0.2051856630625416,0.4377630204700166,0.24105377588003654,0.4733628486477125
14,615,0.0573287256937378,0.0573287256937378,0.0573287256937378,0.03364852915253,0.20487295702989933,0.4376678918823994,0.24077462472739086,0.47330102480265956
15,616,0.0569800075526202,0.0569800075526202,0.0569800075526202,0.0333767766503087,0.20479182504582638,0.4373819526421432,0.24066191402087928,0.47298374856319236
16,617,0.0566404802403228,0.0566404802403228,0.0566404802403228,0.0332333797316941,0.20493293488883904,0.4373095598166083,0.2407700970764769,0.4728786707580069
17,618,0.0568290657339402,0.0568290657339402,0.0568290657339402,0.0332516032725693,0.20439678328274755,0.4362782692780386,0.24015758299911877,0.47177159160736903
18,619,0.0566287882669399,0.0566287882669399,0.0566287882669399,0.0332043774627592,0.2043565754477205,0.4362105197975039,0.24011312571163101,0.47169961486938167
19,620,0.0567207878977807,0.0567207878977807,0.0567207878977807,0.0333347319559777,0.20490424552068193,0.4371472494063245,0.2407207968189266,0.47269590092558367
20,621,0.0569332432938207,0.0569332432938207,0.0569332432938207,0.033463366584425,0.20517941965514594,0.43724305349698,0.24096830927708912,0.4727642563454956
21,622,0.0569339395864427,0.0569339395864427,0.0569339395864427,0.0334572825105226,0.2045909724874817,0.43623009339718305,0.24031439018068207,0.4716863187210387
22,623,0.0567894609905553,0.0567894609905553,0.0567894609905553,0.0334566365205091,0.20367486550452935,0.4347771142042882,0.2393154942886841,0.4701511597775184
23,624,0.056455548631915,0.056455548631915,0.056455548631915,0.0330755779961522,0.20422731741571526,0.4357113018072758,0.23992681381684197,0.47114378127251394
24,625,0.056876440935165994,0.056876440935165994,0.056876440935165994,0.0335842501549419,0.2039785233390034,0.4348669083206283,0.23958616387357815,0.47020822015976677
25,626,0.0563408211768309,0.0563408211768309,0.0563408211768309,0.0330672048100624,0.20409613789278555,0.43544697145173816,0.23977510709241867,0.4708590653986536
26,627,0.0568079150402317,0.0568079150402317,0.0568079150402317,0.0335455740101755,0.20339207838814977,0.4336847156974119,0.23890784610893362,0.46893484022913934
27,628,0.0569939036348109,0.0569939036348109,0.0569939036348109,0.0337265481669814,0.20249677499655366,0.4325715591542084,0.23797894283509496,0.4677883326928005
28,629,0.0570207564069936,0.0570207564069936,0.0570207564069936,0.0337652254095077,0.20312615926357436,0.43266240109183723,0.23852527624464934,0.4677967456658086
29,630,0.0567309950594921,0.0567309950594921,0.0567309950594921,0.0335440044479413,0.20217158911862165,0.43110326629594464,0.2374774631917293,0.4661450668469552
30,631,0.0569437750871424,0.0569437750871424,0.0569437750871424,0.0337321007046603,0.20302580327771158,0.43240231458991896,0.2384002824427364,0.46751220056856896
31,632,0.0570550711905131,0.0570550711905131,0.0570550711905131,0.0339479244630208,0.2020654372023228,0.43105620390044075,0.2373804299041711,0.46610705348831893
32,633,0.0574435086644763,0.0574435086644763,0.0574435086644763,0.0342960211738038,0.20279733075050582,0.43219979405278763,0.23817581779906222,0.4673136624388343
33,634,0.0571802594509094,0.0571802594509094,0.0571802594509094,0.0341763134394767,0.20227365748637274,0.43185715640628664,0.2376800622695674,0.46699872967955214
34,635,0.0573876296892344,0.0573876296892344,0.0573876296892344,0.0342901190140052,0.20204773229344886,0.43087271668560106,0.23733715989001383,0.46589818762239443
35,636,0.0569805350672496,0.0569805350672496,0.0569805350672496,0.0339262050776178,0.20132253151888657,0.43026186879197287,0.2366295890368491,0.46530484324424404
36,637,0.0562066912856813,0.0562066912856813,0.0562066912856813,0.0331824993604973,0.2012422952009813,0.4300663431935347,0.23653157300427818,0.46509166815157127
37,638,0.0558239049673858,0.0558239049673858,0.0558239049673858,0.0327779506383567,0.20021220698007147,0.42826437152302,0.23538244397264405,0.4631715442176566
38,639,0.0553588802759171,0.0553588802759171,0.0553588802759171,0.0322510684796541,0.20043167828985192,0.4287634882144809,0.2356450409515529,0.4637134766936716
39,640,0.0554244633736912,0.0554244633736912,0.0554244633736912,0.0324714823238748,0.19927636884037644,0.42672113394125694,0.2343529418509402,0.46153534508865274
40,641,0.0548743684506082,0.0548743684506082,0.0548743684506082,0.0319707408480639,0.19920369542330285,0.4269426012758917,0.2343256266493862,0.46180182644349843
41,642,0.0554246125023111,0.0554246125023111,0.0554246125023111,0.0324643030833398,0.19831029066421135,0.4259686917033302,0.23341981057522623,0.4608155946044757
42,643,0.0543758406229039,0.0543758406229039,0.0543758406229039,0.031574400112437,0.19898999001501966,0.42625761731697975,0.2340392401637279,0.46104470746568804
43,644,0.0535720712339466,0.0535720712339466,0.0535720712339466,0.0307815226762198,0.19870603099186365,0.42596568057450246,0.23375404663080213,0.46075154683932473
44,645,0.0547666468268183,0.0547666468268183,0.0547666468268183,0.0320147350990178,0.1983710639855567,0.42531080452574593,0.23336973980974007,0.4600477016640506
45,646,0.0549436909809539,0.0549436909809539,0.0549436909809539,0.0320035202301126,0.19828343952220287,0.4248208934793007,0.23322007808443912,0.45949622141422053
46,647,0.0547142142622633,0.0547142142622633,0.0547142142622633,0.0318332393049695,0.19728155079275855,0.4230969044892463,0.23210683115449898,0.45766170465928313
47,648,0.054731805254766,0.054731805254766,0.054731805254766,0.0318732556242163,0.19761249610510193,0.4250385705958556,0.23268617986927728,0.4598499101172355
48,649,0.0542938353277344,0.0542938353277344,0.0542938353277344,0.0315315696323901,0.19730991583194216,0.42413993718312754,0.2322916805415779,0.4588600471427226
49,650,0.0541655953909933,0.0541655953909933,0.0541655953909933,0.031416169615227994,0.19741831035271096,0.4241469913515051,0.2323844450275933,0.45885159519432084
50,651,0.0543685579422392,0.0543685579422392,0.0543685579422392,0.0317384657609747,0.19613985649607457,0.4221934059869379,0.2310018702004253,0.4567946698868486
51,652,0.0539156897506737,0.0539156897506737,0.0539156897506737,0.0312389129908052,0.19664466107245898,0.4223490212601897,0.23145282335496317,0.45689683422950994
52,653,0.0543638885748621,0.0543638885748621,0.0543638885748621,0.0316784962055358,0.19666366281186298,0.42248697816003034,0.2314901757232513,0.4570529983710378
53,654,0.05439565965887,0.05439565965887,0.05439565965887,0.0317473719064477,0.1968335706795309,0.4223903200023272,0.2316189706000319,0.45691552740180524
54,655,0.0542372601722406,0.0542372601722406,0.0542372601722406,0.0315941298534362,0.19646839875784763,0.4216901770694664,0.23120213847826154,0.4561641150243335
55,656,0.0545886353008602,0.0545886353008602,0.0545886353008602,0.0320254015434791,0.19561931596481102,0.42038716452841907,0.23028304920407885,0.4547916186442133
56,657,0.0541412144994087,0.0541412144994087,0.0541412144994087,0.0315024962671268,0.1951785182936332,0.419639079317573,0.22979486618321193,0.4539964947476141
57,658,0.0536241941596351,0.0536241941596351,0.0536241941596351,0.0310857925513812,0.1955544607919863,0.42026782254741796,0.23020979444119433,0.45466393995520354
58,659,0.0537292284920587,0.0537292284920587,0.0537292284920587,0.0311936490485021,0.1957206270530894,0.42038004069649026,0.2303676391963315,0.45476790045175125
59,660,0.0536674918837194,0.0536674918837194,0.0536674918837194,0.0311514112850723,0.19458977600578162,0.4185026396346584,0.22912165363291842,0.4527762271775166
60,661,0.0533646091232976,0.0533646091232976,0.0533646091232976,0.0308221998344631,0.19473324596652464,0.41834502510538113,0.2292186892353265,0.4525725329926917
61,662,0.05410204185608,0.05410204185608,0.05410204185608,0.0316204921233275,0.19440903506020618,0.4180845890634532,0.22890431740982747,0.4523218562479825
62,663,0.0534740327051363,0.0534740327051363,0.0534740327051363,0.0310085603005166,0.19448454956371353,0.4182181534247708,0.22898878778314213,0.4524643024052879
63,664,0.0532627033669116,0.0532627033669116,0.0532627033669116,0.0307430667835899,0.19404079851308143,0.41682046854808136,0.22839791485057884,0.45092060437863285
64,665,0.0534733891179297,0.0534733891179297,0.0534733891179297,0.0310518315521258,0.19386727991280925,0.4167051784557727,0.2282333786203462,0.4508142280137979
