,wl,C,H,I,K,E,A,N,B
0,499.9,14.14,2.9560000000000004,0.9425,0.647,1.103,1.198,1.026,0.9486
1,508.2,14.93,2.384,1.5619999999999998,0.938,1.103,1.198,1.026,0.9486
2,516.5,9.948,2.7889999999999997,1.531,0.9531,1.103,1.198,1.026,0.9486
3,524.7,8.484,2.529,1.4880000000000002,1.038,1.103,1.198,1.026,0.9486
4,532.9,7.662999999999999,2.583,1.383,1.072,1.103,1.198,1.026,0.9486
5,541.1,6.829,2.508,1.357,1.087,1.103,1.198,1.026,0.9486
6,549.3,6.285,2.449,1.2819999999999998,1.1059999999999999,1.103,1.198,1.026,0.9486
7,557.4,5.81,2.375,1.235,1.083,1.103,1.198,1.026,0.9486
8,565.6,5.46,2.325,1.185,1.088,1.103,1.198,1.026,0.9486
9,573.7,5.18,2.237,1.153,1.089,1.103,1.198,1.026,0.9486
10,581.8,5.03,2.21,1.122,1.065,1.103,1.198,1.026,0.9486
11,589.9,4.94,2.145,1.0959999999999999,1.062,1.103,1.198,1.026,0.9486
12,597.9,4.845,2.092,1.068,1.026,1.103,1.198,1.026,0.9486
13,605.9,4.698,1.994,1.042,1.0070000000000001,1.07675,1.1695,1.002525,0.9215249999999999
14,614.0,4.5680000000000005,1.976,1.0090000000000001,0.9940000000000001,1.0416419753086419,1.1396666666666666,0.9780567901234568,0.8955555555555555
15,621.9,4.357,1.911,0.983,0.9701,1.0143291139240507,1.1105949367088608,0.9513151898734178,0.8712544303797468
16,629.9,4.2,1.8630000000000002,0.9698,0.956,0.985125,1.076,0.9245249999999999,0.8481000000000001
17,637.9,4.03,1.831,0.9390000000000001,0.9408,0.9576012658227848,1.0556075949367087,0.9034177215189874,0.8239683544303797
18,645.8,3.955,1.788,0.9159,0.9339,0.937725,1.0295,0.883425,0.803025
19,653.7,3.81,1.757,0.8929,0.9166,0.9129607594936708,0.9991468354430378,0.8599278481012658,0.7802253164556961
20,661.6,3.705,1.7180000000000002,0.8723,0.9024,0.8906692307692308,0.982474358974359,0.8425051282051281,0.7614166666666666
21,669.4,3.613,1.679,0.8619,0.8827,0.8677759493670887,0.9534607594936709,0.8176151898734177,0.7393759493670886
22,677.3,3.5180000000000002,1.645,0.8279,0.8689,0.8480089743589746,0.9331782051282053,0.7987512820512822,0.7216512820512822
23,685.1,3.4610000000000003,1.625,0.8232,0.8547,0.8321782051282052,0.9180025641025641,0.7847128205128205,0.706326923076923
24,692.9,3.345,1.568,0.7999,0.8427,0.8167,0.9000794871794872,0.7673307692307693,0.6940525641025641
25,700.7,3.258,1.534,0.7802,0.8233,0.7891487179487178,0.872505128205128,0.7465371794871793,0.6713307692307692
26,708.4,3.175,1.493,0.7584,0.8044,0.7623897435897437,0.839074358974359,0.7200333333333334,0.647648717948718
27,716.2,3.06,1.4609999999999999,0.7298,0.7746,0.744651948051948,0.8175961038961038,0.7024558441558442,0.6331883116883116
28,723.9,2.97,1.405,0.7041,0.7584,0.7196831168831168,0.792861038961039,0.6790636363636363,0.6102883116883117
29,731.5,2.905,1.3630000000000002,0.6881,0.7256,0.7007077922077922,0.771590909090909,0.6591012987012986,0.5942246753246753
30,739.2,2.792,1.314,0.6599,0.7101,0.68045,0.7472999999999999,0.6408999999999999,0.5757499999999999
31,746.9,2.71,1.2830000000000001,0.6434,0.6791,0.6630480519480519,0.7257597402597402,0.6214857142857143,0.5611337662337662
32,754.5,2.6260000000000003,1.256,0.6242,0.6715,0.6426,0.7057999999999999,0.6017499999999999,0.5439749999999999
33,762.1,2.563,1.212,0.6178,0.6511,0.618575,0.6824999999999999,0.5793999999999999,0.5241499999999999
34,769.6,2.454,1.198,0.5963,0.6332,0.6080693333333334,0.672144,0.5694186666666666,0.5152173333333333
35,777.2,2.434,1.15,0.5816,0.6189,0.5976,0.6568999999999999,0.559225,0.50775
36,784.7,2.388,1.143,0.5674,0.6098,0.582504,0.6412493333333332,0.5488333333333333,0.49547066666666667
37,792.2,2.324,1.126,0.5579,0.596,0.5742186666666667,0.6274946666666666,0.5356226666666667,0.48557866666666666
38,799.7,2.2569999999999997,1.1159999999999999,0.5451,0.5859,0.5607786666666665,0.6138706666666667,0.526848,0.47444
39,807.2,2.238,1.077,0.5355,0.5801,0.5470891891891891,0.6035891891891891,0.5154891891891891,0.4633783783783783
40,814.6,2.187,1.07,0.529,0.5581,0.5351893333333333,0.5909466666666666,0.50232,0.4496746666666666
41,822.0,2.176,1.037,0.5014,0.5586,0.5252135135135135,0.5787783783783783,0.4960013513513513,0.4450824324324324
42,829.4,2.142,1.016,0.5105,0.5438,0.5151150684931507,0.564423287671233,0.48467808219178093,0.43583424657534253
43,836.8,2.057,0.9954,0.5002,0.5308,0.5041243243243244,0.5516945945945947,0.4763054054054055,0.4240459459459461
44,844.1,1.993,0.9873,0.48100000000000004,0.5176,0.49703013698630133,0.5463136986301369,0.46656301369863007,0.41735753424657535
