wl,c,h,i,k
660,1.804137835279107e-12,4.355969727039337e-10,7.613850593566894e-09,3.9166412353515627e-08
670,4.095804877579212e-12,5.957050323486328e-10,9.13664436340332e-09,4.049089813232422e-08
680,4.5140678994357586e-12,6.559982299804688e-10,1.015167236328125e-08,4.6137130737304686e-08
690,7.131693884730339e-12,8.135577440261841e-10,1.1916693687438965e-08,4.946733856201172e-08
700,3.1150165013968946e-12,7.960111498832702e-10,1.2907329559326171e-08,4.6558052062988284e-08
710,8.248528465628624e-12,7.558287382125855e-10,1.5749536514282228e-08,5.3403030395507815e-08
720,1.343470998108387e-11,1.047015905380249e-09,1.8448097229003906e-08,6.460359191894532e-08
730,1.5273304656147958e-11,1.3115618228912353e-09,1.835259437561035e-08,6.282205963134766e-08
740,1.3441669754683972e-11,8.57028603553772e-10,1.4319959640502929e-08,4.024783325195313e-08
750,2.2345544770359992e-11,1.8349653482437135e-09,2.6618291854858397e-08,8.433938598632813e-08
760,4.959326982498169e-11,2.790166139602661e-09,3.386834716796875e-08,1.0874976348876953e-07
770,8.463190495967865e-11,3.4065423011779784e-09,3.957414627075195e-08,1.2197341918945312e-07
780,1.155851036310196e-10,4.084506034851074e-09,4.40638427734375e-08,1.3022218322753906e-07
790,1.9376203417778015e-10,4.673491477966308e-09,4.5974575042724606e-08,1.4188165283203126e-07
800,1.9949798285961152e-10,4.768158912658692e-09,4.814790725708008e-08,1.426158447265625e-07
810,1.494191288948059e-10,4.638275146484375e-09,4.3023857116699216e-08,1.230159912109375e-07
820,2.0351918041706085e-10,6.539641380310058e-09,5.6798843383789064e-08,1.501209716796875e-07
830,2.1870264410972595e-10,7.70688772201538e-09,6.081545257568359e-08,1.747760467529297e-07
840,2.2929225862026215e-10,7.382923126220703e-09,6.304583358764648e-08,1.7273983764648439e-07
850,1.6995459794998168e-10,6.437484741210938e-09,5.9154380798339846e-08,1.4622267150878905e-07
