wl,EN,EO,NN,NO
500.0068054,0.022931925,0.047678444,0.026748337,0.05146631
501.0698853,0.022912516,0.047642031,0.026726305,0.051427295
501.9809265,0.022869558,0.047606106,0.026684432,0.051392446
503.0436096,0.022819088,0.047503803,0.026625969,0.05128221
503.9542542,0.022792534,0.047488162,0.026601097,0.051268239
505.0164795,0.022785377,0.047468547,0.02659202,0.051246717
505.9267578,0.02275768,0.047420029,0.026561111,0.051195012
506.9885559,0.022770545,0.047414689,0.026571169,0.051186886
508.0500793,0.022676552,0.047294255,0.026473098,0.051062404
508.9597778,0.022744887,0.047395256,0.026546471,0.051168405
510.020874,0.022679295,0.04734072,0.026482584,0.051115562
510.9301758,0.022687454,0.047349998,0.026490916,0.05112501
511.9908142,0.022625205,0.047231314,0.026419963,0.050997688
513.0512085,0.022588265,0.04717902,0.026380655,0.050943044
513.9599609,0.022538002,0.047094927,0.026325175,0.050853773
515.0198975,0.022558282,0.047097802,0.026342771,0.050853984
515.9282227,0.02253306,0.047095259,0.026321046,0.050854912
516.9877319,0.022470761,0.046986654,0.026251606,0.050739219
518.0469971,0.022465986,0.047022753,0.026253135,0.050781574
518.9547119,0.022449348,0.0469593,0.026229277,0.050710956
520.0135498,0.022381282,0.04684846,0.026154614,0.050593569
521.0720825,0.022400869,0.046914357,0.026181343,0.050666554
521.979248,0.022330455,0.046770671,0.026099629,0.050511652
523.0373535,0.022367583,0.046859659,0.026144755,0.050608579
523.9440918,0.022276662,0.046718414,0.026046073,0.050459631
525.001709,0.022308029,0.046748584,0.026077256,0.050489617
526.059082,0.022262772,0.046669738,0.026026818,0.05040563
526.96521,0.022230362,0.046620775,0.025991856,0.050354134
528.0221558,0.022230921,0.046636289,0.02599472,0.050371936
528.9279175,0.022193082,0.046551052,0.025949572,0.050279444
529.984375,0.02222901,0.046614675,0.025989771,0.050347307
531.0405884,0.022212832,0.04662196,0.025977211,0.050358183
531.9457397,0.022142717,0.046444151,0.025890488,0.05016389
533.0014648,0.022101083,0.046398641,0.025848257,0.050117787
534.0569458,0.022056582,0.046340562,0.025801661,0.050057629
534.9614868,0.022080312,0.046391132,0.025829531,0.050112307
536.0164795,0.022048621,0.046378776,0.025800821,0.050102911
537.0712891,0.02201064,0.046294513,0.025755702,0.050011563
537.9751587,0.022049418,0.04634544,0.025796355,0.05006435
539.02948,0.021936208,0.04616253,0.025672395,0.049870772
539.9329834,0.021936159,0.046202933,0.025678584,0.049917366
540.9867554,0.021997172,0.046283147,0.025742559,0.05000052
542.0403442,0.021861158,0.046007635,0.025585032,0.049703655
542.9432373,0.021881555,0.046076051,0.025612834,0.049779421
543.9963379,0.021890024,0.046064074,0.02561815,0.049764315
545.0491333,0.021830001,0.04598575,0.025555305,0.04968319
545.951416,0.02178864,0.045920284,0.025510226,0.049614034
547.0037842,0.02184538,0.045982483,0.025567808,0.049677068
548.0558472,0.0218069,0.045919221,0.025525506,0.049610013
548.9574585,0.021769336,0.045862161,0.025484935,0.049549968
550.0090942,0.021725,0.045811772,0.025439666,0.049498653
551.0604248,0.021766897,0.045855153,0.025481791,0.049542262
551.9614258,0.02175973,0.045854227,0.025475587,0.04954229
553.0122681,0.021708644,0.04575044,0.025416374,0.049430436
554.0629272,0.021694689,0.045741896,0.025403253,0.049422721
554.9632568,0.02166869,0.045701067,0.025374967,0.049379622
556.0133667,0.021715169,0.045802879,0.025429979,0.049489904
557.0632324,0.021589205,0.045649895,0.025299849,0.049332783
557.9628906,0.021641875,0.045662817,0.025346388,0.049339621
559.0123291,0.021584893,0.045547425,0.025280398,0.049215289
560.0614014,0.021513569,0.04549127,0.025211414,0.049161456
560.9604492,0.021494996,0.045469455,0.025192341,0.049139145
562.0090942,0.021505991,0.04542925,0.02519544,0.049091102
563.0574341,0.021505068,0.04547386,0.025201539,0.049142683
563.9558105,0.021434643,0.045378489,0.025127267,0.049043493
565.0036621,0.021406156,0.045353671,0.025099346,0.049019236
566.0512695,0.021459411,0.04538191,0.025148743,0.049043646
566.9490356,0.021408232,0.045304062,0.025093451,0.048961716
567.9960938,0.021424409,0.045336747,0.025112174,0.048996928
569.0429688,0.021352098,0.045282704,0.02504268,0.048945681
569.9400024,0.02133029,0.045149352,0.025003669,0.048795256
570.9863892,0.021399192,0.045372829,0.02509641,0.049042393
572.0324097,0.021408287,0.045353035,0.02510105,0.049018177
572.928833,0.021369233,0.045289048,0.025058151,0.048950373
573.9744263,0.021397259,0.045309282,0.025084975,0.048969415
575.0197144,0.021338433,0.045249843,0.025026054,0.048909882
576.0646973,0.02129069,0.04512701,0.024966731,0.048775555
576.9602051,0.021312499,0.045186367,0.024994331,0.04884066
578.0047607,0.021270506,0.045138573,0.024951443,0.048791978
579.0490112,0.021321359,0.045190664,0.025002487,0.048844258
579.9438477,0.021256624,0.04511382,0.024935884,0.048765561
580.9875488,0.02119813,0.045008554,0.024870178,0.048653135
582.0310059,0.021208816,0.045025763,0.02488187,0.048671343
583.0742188,0.021230797,0.045045512,0.024903506,0.048690751
583.9681396,0.021261485,0.045071659,0.024933494,0.048716202
585.0108032,0.021065776,0.044761202,0.024720088,0.048388182
586.0532227,0.021177747,0.044954378,0.024844583,0.048593787
586.9464722,0.021110642,0.044864123,0.024773907,0.048499989
587.9883423,0.021074102,0.044808813,0.024734473,0.048441805
589.0299683,0.021093509,0.044792611,0.024748389,0.048420153
590.0712891,0.021004728,0.044654193,0.024651952,0.048274137
590.963623,0.021038414,0.044745131,0.024694468,0.048373838
592.0044556,0.020967341,0.044624497,0.024615751,0.048245618
593.0449829,0.020943542,0.044594177,0.024590947,0.0482143
593.9366455,0.020954537,0.04457774,0.024597711,0.048193664
594.9766235,0.020922049,0.044541312,0.024564615,0.048156633
596.0163574,0.020937367,0.044526086,0.024575223,0.048136732
597.0558472,0.020904419,0.044485817,0.024541146,0.048095342
597.9465332,0.020933661,0.044509593,0.024569545,0.048118282
598.9854736,0.020936465,0.044515939,0.024572895,0.04812517
600.0241089,0.020886066,0.044445365,0.024519385,0.048051507
601.062439,0.020810562,0.04428536,0.024430849,0.047878568
601.9522705,0.020863303,0.044395521,0.024492446,0.047997518
602.9901123,0.020834341,0.044337409,0.024458988,0.047934945
604.0276489,0.020777188,0.044254787,0.024397907,0.047848424
605.0648804,0.020741308,0.044163596,0.024353497,0.047748767
605.9537354,0.020739817,0.044192512,0.024356695,0.047782337
606.9904785,0.020637591,0.044014243,0.024242742,0.047592428
608.0269165,0.020618093,0.044009494,0.024225519,0.047589937
609.0630493,0.02062907,0.043987146,0.024231357,0.047562488
609.9509277,0.020628726,0.043972274,0.024228772,0.047545393
610.9865723,0.02058156,0.043941538,0.02418414,0.047517171
612.0219116,0.020599279,0.043927042,0.02419689,0.047497744
613.0569458,0.020613241,0.043990701,0.024218516,0.04756901
613.9439087,0.020520349,0.043776812,0.024106964,0.0473366
614.9783936,0.020487471,0.043767407,0.024077706,0.047330788
616.0126343,0.02047908,0.043737834,0.024066049,0.047297974
617.0465088,0.020493963,0.043730632,0.024077526,0.047287391
617.9324951,0.02044009,0.043628524,0.024016214,0.0471779
618.9658813,0.020433788,0.043617853,0.024009238,0.047166559
619.9989624,0.020490396,0.043714715,0.024072054,0.047269583
621.0317993,0.020518817,0.04372461,0.024097618,0.047276643
622.06427,0.020455133,0.043616265,0.024027046,0.047161462
622.9490356,0.020364592,0.043472775,0.02392834,0.047009867
623.9810181,0.020423204,0.043572733,0.023993328,0.047116154
625.0126343,0.020397538,0.043485624,0.023958186,0.04701964
626.0440063,0.020410152,0.04354733,0.023978372,0.04708886
626.9277954,0.020346153,0.04337689,0.023897957,0.046902128
627.9586182,0.020247001,0.043256705,0.023795561,0.046778723
628.9891357,0.020313653,0.043267934,0.023853666,0.046781469
630.0193481,0.020215312,0.04310731,0.023745719,0.046611311
631.0493164,0.020306969,0.043246916,0.023844771,0.046758256
631.9318237,0.020201208,0.043097417,0.023732265,0.046602063
632.9612427,0.020281774,0.043221283,0.023819509,0.046732557
633.9902954,0.020227585,0.043186671,0.023768339,0.046700941
635.019043,0.020204343,0.043085397,0.023733063,0.046587723
636.0475464,0.020128759,0.043023317,0.023659561,0.04652771
636.928833,0.020131969,0.043020211,0.023661797,0.046523637
637.9567871,0.020020178,0.042824106,0.023537003,0.046314626
638.984375,0.020044973,0.04287954,0.023566523,0.046374751
640.0117188,0.019926283,0.04266972,0.02343378,0.046150982
641.0386963,0.019920138,0.042695221,0.023432515,0.046181326
642.0654297,0.019824964,0.042590175,0.023335819,0.046074769
642.9451904,0.019900547,0.042627303,0.023405471,0.046106011
643.9713135,0.019871566,0.042598448,0.023376509,0.046077175
644.9971924,0.019837131,0.042531218,0.023337016,0.046004925
646.0227051,0.019828145,0.042480977,0.023321668,0.04594837
647.0479126,0.019723253,0.042301293,0.023205242,0.045757238
648.072876,0.019764158,0.042519362,0.023273469,0.046002424
648.9511108,0.019730291,0.042413718,0.023228533,0.045885794
649.9754639,0.01974497,0.042419495,0.023241839,0.045890209
650.9995117,0.019613961,0.042219333,0.023100165,0.045679462
652.0232544,0.01966564,0.042235264,0.023146331,0.045689921
653.0466919,0.019666401,0.04224934,0.023149146,0.045706035
654.0698242,0.019684599,0.042238277,0.023162831,0.045690492
654.9465332,0.019651448,0.042176077,0.0231252,0.045623846
655.9691162,0.019563315,0.042041064,0.023029837,0.045481657
656.991333,0.019517526,0.041963363,0.022979127,0.045399071
658.0132446,0.019555944,0.042027615,0.023021529,0.045467278
659.0348511,0.019572632,0.042038371,0.023037302,0.045477126
660.0562134,0.019452358,0.041839308,0.022904877,0.045266003
660.9313354,0.019475694,0.041836442,0.022924172,0.045259127
661.9520874,0.019440471,0.04180761,0.022889935,0.045231273
662.9724731,0.019449682,0.041825689,0.022900514,0.045250709
663.9926147,0.019404208,0.041682132,0.022839913,0.045092139
665.0123901,0.019386513,0.041670375,0.022823134,0.045081291
666.0318604,0.019462696,0.041781126,0.022904648,0.045197334
667.0510254,0.019345186,0.041639726,0.022783454,0.045052276
668.0698853,0.019330057,0.041555426,0.022757657,0.044957389
668.9429321,0.019339769,0.041562694,0.022766992,0.044964283
669.9611816,0.019241785,0.041369867,0.022654381,0.044756938
670.979126,0.019347267,0.041600615,0.022779182,0.045006861
671.9967041,0.019164439,0.041241094,0.022569104,0.044620294
673.0140381,0.019289321,0.04142874,0.022703666,0.044817546
674.0310059,0.019198684,0.04129109,0.022605778,0.044672701
675.0477295,0.019203241,0.041326724,0.022615128,0.044713091
676.0640259,0.019177034,0.041249489,0.022581052,0.044628046
676.9349365,0.019084827,0.041066315,0.022474816,0.044430948
677.9507446,0.01913343,0.04112167,0.02252446,0.044487336
678.9661865,0.019097168,0.041109088,0.02249185,0.044478379
679.9812622,0.019108468,0.041105885,0.022500913,0.044472956
680.9960938,0.018989787,0.04093073,0.022373523,0.044289156
682.0105591,0.019034079,0.04094003,0.022412418,0.0442931
683.0247192,0.018997277,0.040887953,0.02237326,0.044238686
684.0385132,0.018988638,0.040882819,0.022365162,0.044234087
685.052063,0.018960476,0.040862869,0.022338267,0.044215394
686.0652466,0.018906032,0.040768722,0.0222777,0.04411517
686.9334106,0.018930904,0.040830673,0.02230829,0.044182797
687.9459839,0.018892194,0.040735065,0.022260805,0.04407848
688.958252,0.018840509,0.040682794,0.02220903,0.044026119
689.9702148,0.01894075,0.040761155,0.022305896,0.044101131
690.9818115,0.018834532,0.040544781,0.02218269,0.043867896
691.993103,0.01882771,0.040535258,0.022175451,0.04385796
693.0040283,0.018768021,0.04045601,0.022112747,0.043775718
694.0146484,0.018803562,0.040434499,0.022139488,0.043745474
695.0249634,0.018747284,0.040374299,0.022082606,0.043684673
696.0349121,0.01877415,0.040447356,0.022116595,0.043764801
697.0445557,0.018815424,0.040463534,0.022153999,0.043777137
698.053894,0.018731804,0.040358587,0.02206709,0.043668926
699.0628662,0.018785098,0.040390416,0.022117073,0.04369747
700.0715332,0.01868659,0.040253606,0.022012658,0.043554797
700.935791,0.018663285,0.040209493,0.021986145,0.043507498
701.9438477,0.018679686,0.04019564,0.02199788,0.043489015
702.9515381,0.018654077,0.040116781,0.021964059,0.043402005
703.9589233,0.018622913,0.039992492,0.021918533,0.043263461
704.9660034,0.018741505,0.040261363,0.022060301,0.043555336
705.9726563,0.018485933,0.039794635,0.021772165,0.043056287
706.9790649,0.018590412,0.039959178,0.021885906,0.043230023
707.9851074,0.018627964,0.04001434,0.021926174,0.043287881
708.9907837,0.018586381,0.039990927,0.021887393,0.043267249
709.9961548,0.018518051,0.039823431,0.02180377,0.043084574
711.0012207,0.01851599,0.039829214,0.021802919,0.043091557
712.0059204,0.018510311,0.039820423,0.02179676,0.04308229
713.0103149,0.018487102,0.039770219,0.021769388,0.043027954
714.0143433,0.018473122,0.039759965,0.021755982,0.04301827
715.0180054,0.018425626,0.039692784,0.021705451,0.042948076
716.0213623,0.018442847,0.039646907,0.021712941,0.042892541
717.024353,0.018362668,0.039529287,0.021626987,0.04276919
718.0270386,0.018359314,0.039539813,0.021625774,0.042781841
719.0294189,0.018435237,0.039618305,0.021702093,0.042860726
720.0313721,0.018348544,0.039478662,0.021607234,0.042712978
721.03302,0.018428441,0.039584102,0.021691071,0.042822327
722.0343628,0.018365199,0.039445861,0.021616262,0.042672607
723.0353394,0.018371833,0.039451683,0.021622771,0.042678305
724.0359497,0.018337289,0.039402297,0.021585938,0.042626647
725.0362549,0.018330367,0.039352224,0.021572361,0.042569969
726.0361938,0.018363621,0.03935108,0.02160031,0.04256356
727.0358276,0.018434151,0.039435556,0.021672991,0.042650171
728.0350952,0.018372354,0.039328072,0.021604148,0.042535694
729.0339966,0.018434898,0.039402034,0.021668453,0.042611403
730.0325928,0.018482489,0.03939143,0.021707069,0.042591891
731.0308228,0.018456233,0.039403028,0.021686651,0.042609283
732.0286865,0.018471942,0.039339194,0.021690093,0.042533274
733.0262451,0.018501983,0.039322468,0.021712922,0.04250939
734.0234375,0.018569784,0.039386557,0.02178015,0.042572911
735.0202637,0.018562285,0.039359626,0.021769655,0.042543005
736.0167847,0.018720747,0.039584795,0.021938404,0.042778385
737.0129395,0.018712314,0.039476161,0.021914517,0.042654414
738.008728,0.018787591,0.039538657,0.021987824,0.042714953
739.0042114,0.018937607,0.039680165,0.022136527,0.042855159
739.9993286,0.019098525,0.039886269,0.022304414,0.043068179
740.9940796,0.019068125,0.039758576,0.022259009,0.042925594
741.9884644,0.019027586,0.039678815,0.022212422,0.042839829
742.9825439,0.019051489,0.039691647,0.022234618,0.042850966
743.9762573,0.019101541,0.039800652,0.022293761,0.042968995
744.9696045,0.01908798,0.039871869,0.022293275,0.043053189
745.9625854,0.01863571,0.03909387,0.02179077,0.042225332
746.9552612,0.018284666,0.038837755,0.021454367,0.041983747
747.9475708,0.018065262,0.038570645,0.021227606,0.041709335
748.9395142,0.0180002,0.038516949,0.021164296,0.041657379
749.9310913,0.017949573,0.038555264,0.021127386,0.041709308
751.0639038,0.017818409,0.038338079,0.020982956,0.041478956
752.0547485,0.017669605,0.038120891,0.020823606,0.0412513
753.0452271,0.017699588,0.038203082,0.02086164,0.041341483
754.0353394,0.017709476,0.038180986,0.020866596,0.041314491
755.0250854,0.017579065,0.037980999,0.020725455,0.041103855
756.0145264,0.017596933,0.038004481,0.020744188,0.041128196
757.00354,0.017585873,0.038018736,0.020737032,0.041146326
757.9922485,0.017544662,0.03794498,0.020690802,0.041067588
758.9805908,0.017448527,0.037803812,0.020587723,0.040919527
759.9685669,0.017516875,0.03790031,0.020660412,0.041020334
760.9561768,0.017575054,0.037911649,0.020711367,0.041024503
761.9434204,0.017546011,0.037853249,0.020677796,0.040961609
762.9303589,0.017497614,0.037797798,0.020628312,0.040905079
764.0578003,0.017379422,0.037651185,0.020505737,0.040754116
765.0439453,0.017442732,0.037703429,0.02056734,0.040804666
766.0296631,0.017341501,0.037467246,0.020445296,0.040547827
767.0150757,0.017390106,0.037596393,0.020506323,0.040689302
768.0001221,0.017301063,0.037433043,0.02040582,0.040514578
768.9848022,0.017365689,0.037526504,0.020474893,0.040612452
769.9691162,0.017295999,0.037381718,0.020393622,0.040456171
770.953064,0.01739678,0.037569247,0.020507781,0.040656979
771.9366455,0.017179036,0.037277326,0.020278597,0.040353704
773.0603027,0.017179732,0.037201868,0.020267549,0.040266589
774.0431519,0.017259838,0.037284165,0.020347993,0.040349222
775.0255737,0.01726522,0.037414477,0.020372641,0.040498656
776.0076294,0.017240825,0.037357121,0.020343163,0.040436255
776.9893188,0.017195201,0.03724247,0.020286894,0.040311039
777.9707031,0.016994157,0.036906893,0.020065102,0.039954869
778.9516602,0.017094377,0.037003143,0.02016471,0.040050511
779.932251,0.017098969,0.037020018,0.020171197,0.040069266
781.0524902,0.017057409,0.036887182,0.02011556,0.039922459
782.0323486,0.017076521,0.036923369,0.020137305,0.03996126
783.0117798,0.017215974,0.037181668,0.020295086,0.04023775
783.9908447,0.017055586,0.036885182,0.020113709,0.039920432
784.9695435,0.017209925,0.037101738,0.020277644,0.040146511
785.947876,0.017046174,0.036839406,0.020098689,0.039869089
787.0655518,0.017037731,0.036884037,0.020098432,0.039921844
788.0430908,0.017103303,0.03690881,0.020157711,0.039940372
789.0202637,0.01699661,0.036662866,0.020029543,0.039673113
789.9970093,0.016995764,0.036796958,0.020049507,0.039827861
790.9734497,0.016905,0.036577429,0.019938885,0.039588621
791.9495239,0.017171759,0.037060494,0.020239003,0.040104796
793.0645142,0.017002579,0.036656776,0.020033652,0.039665178
794.0397949,0.016945164,0.036515726,0.019963339,0.039511327
795.0146484,0.016961027,0.036631733,0.019994647,0.039642662
795.9891357,0.016843523,0.036477988,0.019871553,0.03948337
796.9632568,0.016786803,0.036347934,0.019803523,0.03934209
797.9370117,0.016861805,0.036491273,0.019889065,0.03949589
799.0493774,0.017094141,0.036776097,0.020129495,0.039788748
800.0223389,0.016850902,0.036370921,0.019861283,0.039358785
800.994873,0.016953692,0.036424686,0.019956512,0.039405046
801.967041,0.016796305,0.036164283,0.019783238,0.039128874
802.9388428,0.01701408,0.036587088,0.020032632,0.039583063
804.0490112,0.017067118,0.036692776,0.02009379,0.03969681
805.0200195,0.017016496,0.036598131,0.020036379,0.039595426
805.9906006,0.017017049,0.036503006,0.020022176,0.039485655
806.9608765,0.016912101,0.036262564,0.019896333,0.039224475
807.9307251,0.016772118,0.036088522,0.019751097,0.039045219
809.0386353,0.01718566,0.036713182,0.020197198,0.039702195
810.0076294,0.016831219,0.036007185,0.019788539,0.038942386
810.9763184,0.01681384,0.036141251,0.019794517,0.039099632
811.9445801,0.016758058,0.036115963,0.019743437,0.039079013
