wl,EN,EO,NN,NO
599.9,1.103,1.198,1.026,0.9486
607.9,1.068,1.16,0.9947,0.9125
616,1.033,1.133,0.9726,0.89
623.9,1.008,1.103,0.9441,0.8649
631.9,0.9775,1.067,0.918,0.8425
639.8,0.9513,1.052,0.8988,0.8181
647.8,0.9332,1.022,0.8783,0.798
655.7,0.9061,0.9914,0.8537,0.7742
663.5,0.8857,0.9796,0.8389,0.7573
671.4,0.8617,0.9446,0.8104,0.7333
679.2,0.8436,0.9295,0.795,0.7179
687,0.8285,0.9143,0.7814,0.7026
694.8,0.8129,0.8955,0.7628,0.6913
702.6,0.7815,0.8651,0.7413,0.6649
710.4,0.7558,0.8301,0.7127,0.6417
718.1,0.741,0.8135,0.6991,0.6304
725.8,0.7127,0.7861,0.6725,0.6037
733.5,0.6965,0.7665,0.6544,0.5909
741.1,0.6751,0.7409,0.6364,0.5707
748.8,0.6591,0.7208,0.6166,0.558
756.4,0.6371,0.7008,0.5968,0.5393
764,0.6124,0.6764,0.5736,0.5191
771.5,0.6066,0.6707,0.568,0.5139
779.1,0.5946,0.6523,0.5563,0.5057
786.6,0.5784,0.6375,0.5463,0.492
794.1,0.5728,0.6241,0.532,0.4834
801.6,0.5567,0.6104,0.5251,0.4714
809,0.544,0.6014,0.5124,0.4608
816.5,0.5322,0.5874,0.4989,0.4459
823.9,0.5228,0.5758,0.495,0.4448
831.2,0.5126,0.5607,0.4813,0.4329
838.6,0.5014,0.5488,0.4747,0.4212
845.9,0.4956,0.5455,0.4639,0.4161
853.3,0.4684,0.5199,0.4402,0.3947
860.5,0.4705,0.5207,0.4437,0.3951
867.8,0.4645,0.5114,0.4383,0.3875
875,0.4517,0.4966,0.4239,0.3817
882.3,0.4341,0.4818,0.4089,0.3649
889.4,0.4285,0.4785,0.4059,0.3581
896.6,0.4059,0.4476,0.3707,0.3301
903.7,0.3969,0.44,0.3676,0.3226
910.9,0.3842,0.4253,0.3593,0.3184
918,0.3964,0.4346,0.3737,0.327
925,0.385,0.4345,0.3637,0.3233
932.1,0.3841,0.4245,0.3616,0.3194
939.1,0.3542,0.3974,0.3396,0.2925
946.1,0.3395,0.3742,0.3203,0.2636
953,0.3413,0.3784,0.3267,0.2827
960,0.3524,0.3932,0.3316,0.2907
966.9,0.332,0.3636,0.312,0.2669
973.8,0.3105,0.3392,0.2872,0.2447
980.6,0.3271,0.36,0.2949,0.2552
987.5,0.2636,0.2826,0.2311,0.1662
994.3,0.2371,0.268,0.2141,0.1424
