wl,c,h,i,k
660,4.80383617064125e-14,2.575462685378357e-11,1.3877704291527252e-09,8.321317758104421e-09
670,5.946785383136872e-14,4.10785083902243e-11,1.4734332879083683e-09,1.0147636454894519e-08
680,5.4891798861496414e-14,4.942902049061007e-11,1.755818374142651e-09,1.0278729667429592e-08
690,6.156710676775511e-14,6.481011999514149e-11,2.0123064809669664e-09,1.1176986364191676e-08
700,1.1942455090480969e-13,8.000755303637063e-11,2.3747311696096057e-09,1.2180189375295554e-08
710,1.2263850154192306e-13,1.050134866573823e-10,2.951138959786896e-09,1.2624573698836673e-08
720,3.4154110003949404e-13,1.4544185140268714e-10,3.4614535795313473e-09,1.4656831477069709e-08
730,1.9837499275055195e-13,1.1593391938819458e-10,3.4942752444048877e-09,1.3831525873736409e-08
740,2.383025790531719e-13,1.324356503471511e-10,3.256723679647518e-09,1.2174730445286759e-08
750,1.1867689509406578e-12,2.3800701810684905e-10,4.998037342796765e-09,2.1795308152314844e-08
760,2.6439880091626477e-12,3.3136277321309253e-10,6.848629790392343e-09,3.0909722153433475e-08
770,3.2107564698480016e-12,4.5236383641311307e-10,8.854681951727548e-09,3.570944557964762e-08
780,3.663389602964004e-12,6.075403840388679e-10,1.0376906479626807e-08,3.649577727451042e-08
790,4.705853337379567e-12,6.933929678895457e-10,1.0706452796219722e-08,4.114230808034109e-08
800,7.88636436741751e-12,6.294877810231682e-10,1.0899884258702152e-08,4.125912383591229e-08
810,7.305150314146419e-12,6.351099635620883e-10,1.0925745395345784e-08,3.805077483012722e-08
820,8.652592688803423e-12,8.803237952324556e-10,1.334060366439042e-08,4.556211406084574e-08
830,1.9722064979659503e-11,1.1822678916906745e-09,1.504987767886558e-08,5.414675895825909e-08
840,2.789604765745459e-11,1.2097378708365218e-09,1.6329575398472407e-08,5.3099736781641555e-08
850,3.0444768994005765e-11,1.1197756101214933e-09,1.6750762190209334e-08,4.6845770335049045e-08
860,3.640068338300522e-11,1.0506235165949821e-09,1.7761924105161866e-08,4.7763994774811234e-08
870,2.6223707191675825e-11,9.674670551816218e-10,1.599115446422986e-08,4.337454167466089e-08
880,1.8957748860500172e-11,7.681433041440966e-10,1.2166043026473274e-08,2.929521803690864e-08
890,9.989592523148386e-12,6.282140712029038e-10,9.366103964383963e-09,2.223523351042911e-08
900,1.973145496573111e-12,1.5282954524735476e-10,2.921161896461399e-09,6.337593646382315e-09
910,5.883045966351421e-13,8.76733129587687e-11,1.5463504232593017e-09,3.5808350924924226e-09
920,1.973697852588081e-12,3.18892851416343e-10,4.926637248062055e-09,1.2096330612398326e-08
