,wl,c,h,i,k
0,660,3.46285873092711e-12,3.36063951253891e-10,8.57535171508789e-09,3.640427017211914e-08
1,670,1.7926522996276616e-12,3.8686370849609376e-10,9.647872924804687e-09,4.1672969818115235e-08
2,680,2.23079789429903e-12,5.620885491371155e-10,1.1205474853515625e-08,4.2554019927978514e-08
3,690,3.1558366026729345e-12,6.658159494400025e-10,1.2565164566040039e-08,4.966112899780273e-08
4,700,7.763007655739784e-12,6.984101533889771e-10,1.2466358184814453e-08,5.2230865478515626e-08
5,710,8.367395028471947e-12,8.488644361495971e-10,1.4771350860595703e-08,5.534284210205078e-08
6,720,1.1156054213643075e-11,1.3471897840499878e-09,1.7678728103637696e-08,6.144755554199219e-08
7,730,1.4960727654397487e-11,1.3158020973205566e-09,1.813926315307617e-08,6.120509338378906e-08
8,740,7.32970517128706e-12,8.434268236160279e-10,1.3813690185546874e-08,4.0189609527587894e-08
9,750,2.949832752346993e-11,2.07509708404541e-09,2.6071250915527343e-08,8.346681213378906e-08
10,760,4.489872977137566e-11,2.951490640640259e-09,3.614665985107422e-08,1.023997573852539e-07
11,770,8.884087949991226e-11,3.799160957336426e-09,3.955563354492188e-08,1.2378309631347657e-07
12,780,8.426450192928314e-11,4.195734024047851e-09,4.0712451934814455e-08,1.30911376953125e-07
13,790,9.679214656352997e-11,4.911651611328125e-09,4.813053512573242e-08,1.3748616027832032e-07
14,800,1.5116581320762635e-10,4.463814735412598e-09,4.889875030517578e-08,1.393197021484375e-07
15,810,1.0796190798282623e-10,4.613322257995605e-09,4.288731384277344e-08,1.174890365600586e-07
16,820,2.173263430595398e-10,6.4432201385498045e-09,6.348043060302734e-08,1.5683673095703126e-07
17,830,2.2437480092048646e-10,7.626349449157715e-09,5.880243682861328e-08,1.7667103576660156e-07
18,840,2.413109242916107e-10,7.86686944961548e-09,6.463594818115235e-08,1.6268930053710937e-07
19,850,2.7878767251968385e-10,7.700819969177246e-09,5.908964538574219e-08,1.508916778564453e-07
20,860,3.012695908546448e-10,7.549521923065185e-09,6.620696258544921e-08,1.54360107421875e-07
21,870,2.2752748429775238e-10,7.467095375061035e-09,6.03878173828125e-08,1.3824868774414064e-07
22,880,1.7414271831512452e-10,4.769454479217529e-09,4.585360717773438e-08,9.495603942871093e-08
23,890,1.426903009414673e-10,5.503312587738037e-09,4.370894241333008e-08,9.215680694580078e-08
24,900,4.296152386814356e-12,5.335898399353027e-10,8.691252708435058e-09,1.3702692031860352e-08
25,910,9.4145489129005e-15,7.616068236529828e-12,2.6282739639282226e-10,3.677131235599518e-10
26,920,9.90196317434311e-11,3.0582191944122316e-09,2.6875490188598634e-08,6.13343734741211e-08
