deoxy,fat,mel,oxy,water,musp,nmlib
20.081,0.0001,283.49,1.9706,0.0032,22.209,650
19.794,0.0001,282.04,1.9406,0.003238,22.132,651
19.506,0.0001,280.61,1.9106,0.003276,22.055,652
19.218,0.0001,279.18,1.8806,0.003314,21.978,653
18.93,0.0001,277.76,1.8506,0.003352,21.902,654
18.642,0.0001,276.35,1.8228,0.00339,21.826,655
18.355,0.0001,274.95,1.7949,0.003428,21.751,656
18.067,0.0001,273.56,1.7692,0.003466,21.677,657
17.779,0.0001,272.18,1.7435,0.003504,21.602,658
17.528,0.0001,270.8,1.7275,0.003542,21.529,659
17.278,0.0001,269.44,1.7114,0.00358,21.455,660
17.047,0.0001,268.08,1.6964,0.003618,21.383,661
16.816,0.0001,266.74,1.6814,0.003656,21.31,662
16.585,0.0001,265.4,1.6664,0.003694,21.239,663
16.353,0.0001,264.07,1.6514,0.003732,21.167,664
16.122,0.0001,262.75,1.6364,0.00377,21.096,665
15.891,0.0001,261.44,1.6214,0.003808,21.026,666
15.66,0.0001,260.14,1.6086,0.003846,20.956,667
15.429,0.0001,258.84,1.5957,0.003884,20.886,668
15.198,0.0001,257.56,1.585,0.003922,20.817,669
14.967,0.0001,256.28,1.5743,0.00396,20.748,670
14.736,0.0001,255.01,1.5636,0.003998,20.68,671
14.505,0.0001,253.75,1.5529,0.004036,20.612,672
14.288,0.0001,252.49,1.5411,0.004074,20.545,673
14.071,0.0001,251.25,1.5293,0.004112,20.478,674
13.875,0.0001,250.01,1.5197,0.00415,20.411,675
13.678,0.0001,248.78,1.5101,0.004224,20.345,676
13.482,0.0001,247.56,1.5026,0.004298,20.279,677
13.286,0.0001,246.35,1.4951,0.004372,20.214,678
13.09,0.0001,245.14,1.4908,0.004446,20.149,679
12.894,0.0001,243.94,1.4865,0.00452,20.084,680
12.698,0.0001,242.75,1.4822,0.004594,20.02,681
12.502,0.0001,241.57,1.4779,0.004668,19.956,682
12.306,0.0001,240.39,1.4737,0.004742,19.893,683
12.11,0.0001,239.22,1.4694,0.004816,19.83,684
11.914,0.0001,238.06,1.4651,0.00489,19.767,685
11.718,0.0001,236.91,1.4608,0.004964,19.705,686
11.522,0.0001,235.76,1.4651,0.005038,19.643,687
11.326,0.0001,234.62,1.4694,0.005112,19.581,688
11.157,0.0001,233.49,1.4737,0.005186,19.52,689
10.988,0.0001,232.37,1.4779,0.00526,19.459,690
10.85,0.0001,231.25,1.4822,0.005334,19.399,691
10.712,0.0001,230.14,1.4865,0.005408,19.339,692
10.575,0.0001,229.03,1.4908,0.005482,19.279,693
10.437,0.0001,227.94,1.4951,0.005556,19.22,694
10.299,0.0001,226.85,1.5026,0.00563,19.161,695
10.161,0.0001,225.76,1.5101,0.005704,19.102,696
10.023,0.0001,224.69,1.5208,0.005778,19.044,697
9.8855,0.0001,223.62,1.5315,0.005852,18.986,698
9.7468,0.0001,222.55,1.5422,0.005926,18.928,699
9.6081,0.0001,221.5,1.5529,0.006,18.871,700
9.4654,0.0001,220.45,1.5636,0.006396,18.814,701
9.3228,0.0001,219.4,1.5743,0.006792,18.757,702
9.1802,0.0001,218.36,1.585,0.007188,18.701,703
9.0377,0.0001,217.33,1.5957,0.007584,18.645,704
8.895,0.0001,216.31,1.6086,0.00798,18.589,705
8.7524,0.0001,215.29,1.6214,0.008376,18.534,706
8.616,0.0001,214.28,1.6364,0.008772,18.479,707
8.4795,0.0001,213.27,1.6514,0.009168,18.425,708
8.3643,0.0001,212.27,1.6664,0.009564,18.37,709
8.249,0.0001,211.28,1.6814,0.00996,18.316,710
8.1337,0.0001,210.29,1.6964,0.010356,18.262,711
8.0184,0.0001,209.31,1.7114,0.010752,18.209,712
7.9031,0.0001,208.33,1.7264,0.011148,18.156,713
7.7879,0.0001,207.36,1.7414,0.011544,18.103,714
7.6726,0.0001,206.4,1.7596,0.01194,18.051,715
7.5574,0.0001,205.44,1.7778,0.012336,17.998,716
7.4422,0.0001,204.49,1.7992,0.012732,17.946,717
7.3269,0.0001,203.54,1.8206,0.013128,17.895,718
7.2134,0.0001,202.6,1.8421,0.013524,17.843,719
7.0999,0.0001,201.66,1.8635,0.01392,17.792,720
6.9909,0.0001,200.73,1.8849,0.014316,17.742,721
6.8818,0.0001,199.81,1.9063,0.014712,17.691,722
6.7728,0.0001,198.89,1.9277,0.015108,17.641,723
6.6638,0.0001,197.98,1.9492,0.015504,17.591,724
6.5547,0.0001,197.07,1.9717,0.0159,17.541,725
6.4455,0.0001,196.17,1.9941,0.016304,17.492,726
6.3093,0.0001,195.27,2.0177,0.016708,17.443,727
6.1731,0.0001,194.38,2.0413,0.017112,17.394,728
6.0376,0.0001,193.49,2.0648,0.017516,17.346,729
5.9021,0.0001,192.61,2.0884,0.01792,17.297,730
5.9021,0.0001,191.73,2.112,0.018324,17.249,731
5.9021,0.0001,190.86,2.1355,0.018728,17.201,732
5.9021,0.0001,190,2.1591,0.019132,17.154,733
5.9021,0.0001,189.14,2.1826,0.019536,17.107,734
5.9009,0.0001,188.28,2.2126,0.01994,17.06,735
5.8998,0.0001,187.43,2.2426,0.020344,17.013,736
5.8963,0.0001,186.58,2.279,0.020748,16.967,737
5.8929,0.0001,185.74,2.3154,0.021152,16.92,738
5.9341,0.0001,184.91,2.3518,0.021556,16.874,739
5.9754,0.0001,184.08,2.3883,0.02196,16.829,740
6.0979,0.0001,183.25,2.4247,0.022364,16.783,741
6.2204,0.0001,182.43,2.4611,0.022768,16.738,742
6.3429,0.0001,181.61,2.4975,0.023172,16.693,743
6.4654,0.0001,180.8,2.5339,0.023576,16.648,744
6.6224,0.0001,180,2.5725,0.02398,16.604,745
6.7795,0.0001,179.19,2.611,0.024384,16.56,746
6.9594,0.0001,178.4,2.6517,0.024788,16.516,747
7.1393,0.0001,177.6,2.6924,0.025192,16.472,748
7.3321,0.0001,176.81,2.7331,0.025596,16.428,749
7.5248,0.0001,176.03,2.7738,0.026,16.385,750
7.8196,0.0001,175.25,2.8145,0.02592,16.342,751
8.1143,0.0001,174.48,2.8552,0.02584,16.299,752
8.1851,0.0001,173.71,2.8959,0.02576,16.256,753
8.2559,0.0001,172.94,2.9366,0.02568,16.214,754
8.306,0.0001,172.18,2.973,0.0256,16.172,755
8.3561,0.0001,171.42,3.0094,0.02552,16.13,756
8.3561,0.0001,170.67,3.0416,0.02544,16.088,757
8.3561,0.0001,169.92,3.0737,0.02536,16.047,758
8.3241,0.0001,169.18,3.1058,0.02528,16.005,759
8.2921,0.0001,168.44,3.1379,0.0252,15.964,760
8.1848,0.0001,167.7,3.1701,0.02512,15.923,761
8.0775,0.0001,166.97,3.2022,0.02504,15.883,762
7.9466,0.0001,166.24,3.2343,0.02496,15.842,763
7.8157,0.0001,165.52,3.2665,0.02488,15.802,764
7.6844,0.0001,164.8,3.3007,0.0248,15.762,765
7.5531,0.0001,164.08,3.335,0.02472,15.722,766
7.4214,0.0001,163.37,3.3714,0.02464,15.682,767
7.2897,0.0001,162.66,3.4078,0.02456,15.643,768
7.1573,0.0001,161.96,3.4442,0.02448,15.604,769
7.0249,0.0001,161.26,3.4807,0.0244,15.565,770
6.8925,0.0001,160.57,3.5171,0.02432,15.526,771
6.7602,0.0001,159.87,3.5535,0.02424,15.487,772
6.6278,0.0001,159.19,3.5899,0.02416,15.449,773
6.4954,0.0001,158.5,3.6263,0.02408,15.41,774
6.3631,0.0001,157.82,3.6584,0.024,15.372,775
6.2307,0.0001,157.15,3.6906,0.02384,15.334,776
6.1001,0.0001,156.47,3.7184,0.02368,15.297,777
5.9696,0.0001,155.8,3.7463,0.02352,15.259,778
5.8642,0.0001,155.14,3.7741,0.02336,15.222,779
5.7588,0.0001,154.48,3.8019,0.0232,15.185,780
5.6534,0.0001,153.82,3.8298,0.02304,15.148,781
5.5481,0.0001,153.17,3.8576,0.02288,15.111,782
5.4427,0.0001,152.52,3.8855,0.02272,15.075,783
5.3373,0.0001,151.87,3.9133,0.02256,15.038,784
5.2319,0.0001,151.23,3.938,0.0224,15.002,785
5.1265,0.0001,150.59,3.9626,0.02224,14.966,786
5.0313,0.0001,149.95,3.984,0.02208,14.93,787
4.9361,0.0001,149.32,4.0054,0.02192,14.894,788
4.8531,0.0001,148.69,4.0268,0.02176,14.859,789
4.7701,0.0001,148.06,4.0483,0.0216,14.824,790
4.6871,0.0001,147.44,4.0697,0.02144,14.789,791
4.6041,0.0001,146.82,4.0911,0.02128,14.754,792
4.5211,0.0001,146.21,4.1125,0.02112,14.719,793
4.4381,0.0001,145.59,4.1339,0.02096,14.684,794
4.3689,0.0001,144.98,4.1725,0.0208,14.65,795
4.2997,0.0001,144.38,4.2111,0.02064,14.615,796
4.2446,0.0001,143.78,4.2667,0.02048,14.581,797
4.1894,0.0001,143.18,4.3224,0.02032,14.547,798
4.1342,0.0001,142.58,4.346,0.02016,14.513,799
4.0789,0.0001,141.99,4.3696,0.02,14.48,800
4.031,0.0001,141.4,4.4017,0.019986,14.446,801
3.9832,0.0001,140.81,4.4338,0.019972,14.413,802
3.9651,0.0001,140.23,4.4552,0.019957,14.38,803
3.947,0.0001,139.65,4.4767,0.019943,14.347,804
3.9287,0.0001,139.07,4.4981,0.019929,14.314,805
3.9105,0.0001,138.5,4.5195,0.019915,14.281,806
3.8924,0.0001,137.93,4.5516,0.019901,14.249,807
3.8743,0.0001,137.36,4.5838,0.019886,14.216,808
3.8571,0.0001,136.8,4.6052,0.019872,14.184,809
3.8399,0.0001,136.23,4.6266,0.019858,14.152,810
3.8258,0.0001,135.68,4.648,0.020263,14.12,811
3.8118,0.0001,135.12,4.6694,0.020668,14.088,812
3.7978,0.0001,134.57,4.6908,0.021073,14.057,813
3.7837,0.0001,134.02,4.7123,0.021478,14.025,814
3.7696,0.0001,133.47,4.7315,0.021882,13.994,815
3.7555,0.0001,132.93,4.7508,0.022287,13.963,816
3.7414,0.0001,132.39,4.7894,0.022692,13.932,817
