wavelength,PC,PH,PI,PK,PE,PN
538.6143,5.4,6.48,8.12,11.32,9.82,10.08
538.9586,6.34,6.64,7.64,13.06,9.14,11
539.3029,6.4,7.3,8.84,13.12,10.04,11.7
539.6472,6.72,7.38,8.32,12.66,9.96,11.54
539.9915,5.54,7.12,8.72,13.38,8.84,11.54
540.3358,5.56,7.12,9.06,12.56,9.96,11.24
540.6801,6.42,7.92,8.2,13.08,8.78,11.94
541.0244,4.96,7.32,7.34,11.96,9.04,10.18
541.3687,5.38,6.3,7.46,12.76,10.42,11.18
541.713,7.74,8.68,9.38,14.1,10.22,12.5
542.0573,5.36,8.24,9.24,12.98,10,11.14
542.4016,6.5,6.68,8.46,12.52,10.46,11.92
542.7459,6.02,7.04,8.74,12.5,9.36,12
543.0902,5.9,7.54,8.54,13,9.28,11.48
543.4345,5.64,7.12,8.32,12.86,9.32,11.52
543.7788,5.86,7.68,8.2,12.88,10.12,11.44
544.1231,6.62,7.82,8.64,13.42,9.92,11.44
544.4674,5.58,7.86,9.42,14.44,9.98,11.82
544.8117,5.94,6.94,9.08,12.94,10.08,12.48
545.156,7.18,8.08,9.12,14.16,10.58,12.64
545.5003,6.18,8.06,8.42,13.56,10.44,11.84
545.8446,7.1,7.92,8.88,14.02,9.6,12.5
546.1889,6.74,8.64,8.34,13.68,9.24,11.06
546.5332,6.32,7.46,8.16,12.96,9.34,10.28
546.8775,6.06,7.6,8.1,12.18,10.22,12.16
547.2218,7.24,8.8,9.7,14.2,10.76,12.8
547.5661,6.14,9.38,9.3,13.9,10.88,12.42
547.9104,5.9,8.24,8.16,12.58,10.24,11.42
548.2547,6.92,7.58,8.04,13.32,9.68,12.16
548.599,6.82,8.4,9.34,14.18,10.52,12.62
548.9433,6.96,9.2,9.42,14.72,10.66,12.2
549.2876,5.66,6.48,7.48,12.48,10.36,11.58
549.6319,7.02,7.6,8.8,13.7,9.72,11.62
549.9762,6.5,7.7,9.66,12.36,10.18,11.72
550.3205,6.46,6.48,8.46,13.16,10.5,11.34
550.6648,5.8,7.88,7.72,12.8,9.7,10.76
551.0091,5.5,7.86,8.38,13.4,10.18,11.7
551.3534,5.92,8.04,8.1,13.46,9.68,12.5
551.6977,6.52,7.96,8.52,14.5,10.26,12.82
552.042,7.3,8.58,9.5,15.02,10.64,13.44
552.3863,6.4,7.08,8.44,13.06,10.54,12.36
552.7306,6.58,7.62,9.08,13.18,10.18,10.88
553.0749,6.68,7.88,9.08,14.02,10.44,13.48
553.4192,6.74,7.82,9.56,14.52,10.08,12.5
553.7635,6.14,7.4,8.54,13.42,9.74,11.26
554.1078,6.06,7.9,8.46,12.94,9.62,12.12
554.4521,5.08,7.32,8,12.48,9.68,11.62
554.7964,6.04,6.98,8.56,13,9.78,11.5
