wl,mm,ml,fat,skin
500.0068054,0.026817439,0.026817439,0.004806385,0.168813565
501.0698853,0.026795359,0.026795359,0.004799428,0.168693923
501.9809265,0.026753506,0.026753506,0.00475132,0.168692423
503.0436096,0.026694898,0.026694898,0.004738815,0.168336396
503.9542542,0.026670056,0.026670056,0.004704267,0.168374174
505.0164795,0.026660944,0.026660944,0.004706236,0.168293575
505.9267578,0.026629977,0.026629977,0.004693788,0.168143143
506.9885559,0.026639984,0.026639984,0.004719987,0.168048689
508.0500793,0.026541839,0.026541839,0.004645361,0.167798821
508.9597778,0.026615304,0.026615304,0.004689771,0.168059724
510.020874,0.026551448,0.026551448,0.004616081,0.168059307
510.9301758,0.026559782,0.026559782,0.004623421,0.168074058
511.9908142,0.026488672,0.026488672,0.004602507,0.167679126
513.0512085,0.026449321,0.026449321,0.004576812,0.167551677
513.9599609,0.026393746,0.026393746,0.004551328,0.167301985
515.0198975,0.026411294,0.026411294,0.004584357,0.167219657
515.9282227,0.026389632,0.026389632,0.004542523,0.167328133
516.9877319,0.026320063,0.026320063,0.004514141,0.166992856
518.0469971,0.026321706,0.026321706,0.004479429,0.167229031
518.9547119,0.026297717,0.026297717,0.004497079,0.166936421
520.0135498,0.026222935,0.026222935,0.004460343,0.166616203
521.0720825,0.026249793,0.026249793,0.00444601,0.166908787
521.979248,0.026167875,0.026167875,0.004429265,0.166406431
523.0373535,0.026213146,0.026213146,0.004428408,0.166749277
523.9440918,0.026114323,0.026114323,0.004374346,0.166361696
525.001709,0.026145502,0.026145502,0.004406591,0.166385999
526.059082,0.026094971,0.026094971,0.004385935,0.166142741
526.96521,0.026059962,0.026059962,0.00436565,0.166012747
528.0221558,0.026062869,0.026062869,0.004355254,0.166101467
528.9279175,0.026017589,0.026017589,0.004352133,0.165784213
529.984375,0.026057865,0.026057865,0.004367776,0.165983405
531.0405884,0.02604537,0.02604537,0.004334412,0.166105543
531.9457397,0.025958346,0.025958346,0.004343178,0.165400567
533.0014648,0.025916104,0.025916104,0.004304383,0.165336085
534.0569458,0.02586947,0.02586947,0.004269825,0.165211545
534.9614868,0.025897415,0.025897415,0.004273898,0.165393494
536.0164795,0.025868759,0.025868759,0.004228044,0.165475784
537.0712891,0.025823512,0.025823512,0.004223962,0.165164968
537.9751587,0.025864198,0.025864198,0.004253843,0.165275363
539.02948,0.025740044,0.025740044,0.004191684,0.164751271
539.9329834,0.025746346,0.025746346,0.004162005,0.164989689
540.9867554,0.025810374,0.025810374,0.004208954,0.165163896
542.0403442,0.025652457,0.025652457,0.004175117,0.164205529
542.9432373,0.025680394,0.025680394,0.004160342,0.164509001
543.9963379,0.025685652,0.025685652,0.004183785,0.164396946
545.0491333,0.025622756,0.025622756,0.004137168,0.164229035
545.951416,0.02557761,0.02557761,0.004113463,0.164045572
547.0037842,0.025635208,0.025635208,0.004166205,0.164134491
548.0558472,0.025592836,0.025592836,0.004145876,0.163949925
548.9574585,0.025552211,0.025552211,0.004122592,0.163797428
550.0090942,0.025506924,0.025506924,0.004082688,0.163717412
551.0604248,0.025549054,0.025549054,0.004123498,0.16376806
551.9614258,0.025542868,0.025542868,0.004111762,0.163797676
553.0122681,0.025483507,0.025483507,0.004099276,0.163435918
554.0629272,0.025470401,0.025470401,0.004081356,0.163453865
554.9632568,0.025442074,0.025442074,0.004066221,0.163340438
556.0133667,0.025497241,0.025497241,0.00407217,0.163713112
557.0632324,0.025367035,0.025367035,0.003965999,0.163427858
557.9628906,0.025413463,0.025413463,0.004047781,0.163246216
559.0123291,0.02534731,0.02534731,0.004033581,0.162844903
560.0614014,0.025278368,0.025278368,0.003951147,0.162863001
560.9604492,0.025259286,0.025259286,0.003934949,0.162825315
562.0090942,0.025262242,0.025262242,0.003983445,0.162534486
563.0574341,0.025268468,0.025268468,0.003949171,0.162801984
563.9558105,0.025194127,0.025194127,0.003897018,0.162584498
565.0036621,0.025166216,0.025166216,0.003865844,0.162577638
566.0512695,0.025215543,0.025215543,0.003937422,0.162483424
566.9490356,0.025160176,0.025160176,0.003905776,0.162275032
567.9960938,0.025178946,0.025178946,0.003909863,0.162388521
569.0429688,0.025109503,0.025109503,0.003824171,0.162423901
569.9400024,0.025070181,0.025070181,0.003884062,0.161744541
570.9863892,0.025163353,0.025163353,0.003839747,0.162724668
572.0324097,0.025167912,0.025167912,0.003870001,0.162563461
572.928833,0.025124943,0.025124943,0.00384921,0.162377424
573.9744263,0.025151746,0.025151746,0.003882943,0.162359516
575.0197144,0.025092823,0.025092823,0.003824565,0.162297082
576.0646973,0.02503329,0.02503329,0.003831822,0.161806678
576.9602051,0.025060995,0.025060995,0.003826129,0.162049834
578.0047607,0.025018091,0.025018091,0.003788385,0.161973645
579.0490112,0.025069139,0.025069139,0.003838332,0.162031792
579.9438477,0.025002502,0.025002502,0.003782465,0.161895676
580.9875488,0.024936665,0.024936665,0.00375823,0.161561456
582.0310059,0.024948375,0.024948375,0.003764138,0.161610597
583.0742188,0.024970005,0.024970005,0.003787753,0.161619424
583.9681396,0.02499998,0.02499998,0.003821767,0.16162334
585.0108032,0.024786254,0.024786254,0.003710105,0.160751191
586.0532227,0.024910975,0.024910975,0.003762598,0.161341867
586.9464722,0.024840236,0.024840236,0.003712448,0.161138294
587.9883423,0.024800749,0.024800749,0.003689658,0.1609911
589.0299683,0.024814565,0.024814565,0.003735146,0.160800592
590.0712891,0.02471799,0.02471799,0.003682722,0.160419197
590.963623,0.024760665,0.024760665,0.003674474,0.160790386
592.0044556,0.02468181,0.02468181,0.003639701,0.160427148
593.0449829,0.024656988,0.024656988,0.003620679,0.160364908
593.9366455,0.024663676,0.024663676,0.003651767,0.160214191
594.9766235,0.024630569,0.024630569,0.003622164,0.160158478
596.0163574,0.024641091,0.024641091,0.003659854,0.159993736
597.0558472,0.024606994,0.024606994,0.003632268,0.159917633
597.9465332,0.024635377,0.024635377,0.003665513,0.159914653
598.9854736,0.024638737,0.024638737,0.003665722,0.159938341
600.0241089,0.024585171,0.024585171,0.003630102,0.159769001
601.062439,0.024496399,0.024496399,0.003616491,0.159195361
601.9522705,0.024558156,0.024558156,0.003627175,0.159586595
602.9901123,0.024524617,0.024524617,0.003619563,0.159385795
604.0276489,0.024463465,0.024463465,0.003581065,0.159178499
605.0648804,0.0244189,0.0244189,0.003585697,0.158816562
605.9537354,0.024422184,0.024422184,0.003561934,0.158994322
606.9904785,0.024308018,0.024308018,0.003515406,0.158443818
608.0269165,0.024290836,0.024290836,0.003485106,0.158511265
609.0630493,0.024296581,0.024296581,0.003520492,0.158325789
609.9509277,0.024293955,0.024293955,0.003530788,0.158239805
610.9865723,0.024249369,0.024249369,0.003471588,0.158289491
612.0219116,0.02426203,0.02426203,0.003512902,0.158117305
613.0569458,0.024283795,0.024283795,0.003490464,0.158424232
613.9439087,0.024171905,0.024171905,0.003486196,0.157618057
614.9783936,0.024142712,0.024142712,0.003436125,0.157723554
