,wavelength,max,min
0,650,199.100181909902,200.33789534830493
1,660,368.25003898069326,370.14032743782224
2,670,540.9953009156642,544.3891893544493
3,680,792.2933197792612,798.3091489979662
4,690,1058.3058761484024,1064.3750783435505
5,700,1463.0247351605872,1476.0158460339076
6,710,1743.1416313802215,1757.0061467202715
7,720,2048.796057599706,2058.626078848006
8,730,2293.3773743828056,2310.441088707828
9,740,2259.519063851904,2278.228535395998
10,750,2429.2410290902994,2447.767344879773
11,760,2468.380729779722,2474.5526575660756
12,770,2730.6808046837996,2748.471493648442
13,780,2949.256352324321,2975.100972224347
14,790,3216.596907531684,3236.305851689931
15,800,3157.0041518259764,3170.1301206108483
16,810,3275.9620710212916,3296.8807465949185
17,820,2930.8455019337475,2942.288788846935
18,830,2967.6306479966925,2982.1788311906644
19,840,2585.7190195209196,2595.564503110812
20,850,2442.06612807069,2451.8148096060704
21,860,2342.5399865478385,2356.8392130485954
22,870,2126.1913661586436,2129.031430667869
23,880,1869.3714141584019,1874.4944479263827
24,890,1489.2515599920514,1502.6511350260637
25,900,1298.9019459773453,1305.708257792317
26,910,1129.4838681076783,1135.1772352752341
27,920,1133.7386046440536,1137.7115474570846
28,930,856.7439579925721,861.710602748522
29,940,672.7078725713495,675.8725545347532
30,950,468.0103856795632,474.24855771435534
31,960,274.43997584725656,273.76431814360143
32,970,221.18762401210722,219.94968891878278
33,980,204.8854410932941,204.6050476175924
34,990,185.2711175994009,185.89838574070973
35,1000,167.49536053319454,168.96265496736308
