wavelength,c,h,i,k
650,227.20882950914972,356.79361022364355,769.3774034272465,4120.75399361024
660,373.83839674702335,588.2300900377589,1262.9275050827762,6575.802033110667
670,462.6665117629974,713.0752831832704,1530.132094103979,7738.499738600059
680,583.1960499564333,886.7109497531219,1851.8953238454817,9082.30734824281
690,680.879058960209,1024.769387162359,2071.737496369445,9904.181585826314
700,855.5720592506544,1259.302701132733,2518.873830961374,11650.666627940753
710,951.127679349406,1401.8415916352008,2742.5720592506505,12429.348881789134
720,1080.5456869009602,1571.7476038338668,3059.5757769387146,13588.585013069998
730,1192.7492884112694,1746.7771129828639,3381.1183270403717,14527.712053441765
740,1203.566018007552,1731.476038338659,3326.3840255591062,13437.010049375547
750,1467.4888178913766,2129.28178913738,4010.013418530357,16494.256230031962
760,1584.8227708393829,2309.2225384838816,4279.935927969793,17458.181702004058
770,1718.7091489979662,2485.579901248911,4557.007028753995,18310.554167876853
780,1794.8801626488528,2574.893058379321,4673.451757188499,18391.116235840836
790,1936.6433343014805,2763.800348533257,4922.983328492596,19074.393494045897
800,1910.8157420853897,2729.055068254428,4833.375254138835,18358.854952076686
810,2039.7553296543706,2898.935637525412,5078.890909090905,18704.00848097588
820,1928.1133313970377,2743.424339239036,4744.247516700552,17506.153877432473
830,2080.2519314551237,2974.402381643909,5157.559686320064,18701.957769387136
840,1902.4068544873667,2698.8974731338963,4671.058030787106,16517.889398780142
850,1819.228753993612,2594.9766482718624,4448.149985477794,15355.555620098781
860,1822.2830670926512,2601.345047923322,4461.91629392971,15234.295846645362
870,1695.553703165842,2431.4737147836177,4160.756665698516,13984.509846064468
880,1471.5972117339563,2105.9688062736036,3642.866511763007,11677.997560267233
890,1195.6451931455124,1776.7626488527444,3158.616555329654,9977.245948300899
900,883.2309032820219,1254.282021492884,2249.4566366540816,6195.031019459774
910,657.9831542259661,834.3024106883537,1424.8874237583511,3519.961951786236
920,1036.5621260528642,1473.6885855358744,2496.270229451067,7375.922277083962
930,929.2505373221036,1385.7002613999439,2362.370258495501,7370.280511182114
940,772.4776067383087,1200.7125762416495,2099.8379320360123,6546.767934940447
950,621.7830380482138,1016.3047923322684,1870.4207958176012,5740.165262852164
960,409.5918094684856,725.6656985187324,1406.625152483295,4385.948358989246
970,334.398722044729,612.9591054313112,1160.0230031948865,3577.9559105431294
980,306.02091199535363,558.2013941330237,1071.4034853325588,3216.8125471972126
990,258.3426662794076,455.0478071449321,858.0137089747321,2464.043799012491
1000,210.88765611385404,349.9901248910832,650.9532965437114,1834.4841707812939
