,wavelength,max,min
0,650,488.3233077891245,494.89442570209553
1,660,917.8333236518555,933.044588425421
2,670,1335.9865218913146,1355.2602843376012
3,680,1944.2177498752562,1972.5450732441125
4,690,2537.5700603975356,2573.6051967202116
5,700,3412.292581752649,3457.465254660146
6,710,3939.1153853601113,3994.628205872931
7,720,4471.587977092132,4527.392642075711
8,730,4835.833240242183,4893.041265443819
9,740,4629.400293423295,4687.23261764859
10,750,4873.696714999595,4928.206914065705
11,760,4831.692341949848,4876.755725850293
12,770,5219.52610797084,5269.924381688604
13,780,5514.9375038167345,5562.670376907435
14,790,5867.982163736162,5912.522852014869
15,800,5648.631339693318,5687.050823298106
16,810,5773.336528221509,5812.499541991552
17,820,5071.211833746662,5097.245205061183
18,830,5027.563640832005,5050.584686878611
19,840,4339.758685404055,4363.858978082622
20,850,4003.616836837294,4028.2498566396443
21,860,3826.853772425657,3846.491521258294
22,870,3398.6642984278733,3412.514012079504
23,880,2982.8488870022466,2992.9977434705916
24,890,2373.327554234902,2383.8063927552744
25,900,2054.015138854755,2058.624074115448
26,910,1763.57438429515,1773.6329497978054
27,920,1758.3846704945772,1761.5411604370092
28,930,1285.8104768500957,1285.2851150978966
29,940,962.4222763392082,970.2765700752901
30,950,621.8088146145651,625.5744334472766
31,960,331.97927269748266,332.6080475435099
32,970,260.27040222822893,263.69704268042886
33,980,242.31078144432772,242.7503429477871
34,990,218.16752236049336,219.3127966814866
35,1000,199.6367106801612,201.70574707507606
