wavelength,c,h,i,k
650,354.8100493755463,669.9347081034005,1283.5842579146145,6737.93848388036
660,569.357885564916,1074.8558814986952,2032.774789427826,10401.65675283184
670,697.3140865524252,1311.4831251815276,2456.0097008422886,12292.77688062736
680,899.4138251524836,1642.5051989543986,2982.6813244263712,14466.535521347656
690,1059.3612547197215,1880.1250072611099,3338.930002904444,15827.30566366541
700,1324.4990996224221,2318.43961661342,4051.6360151031095,18648.64676154517
710,1495.3380191693261,2579.0491431890773,4443.40516990996,20013.834853325578
720,1708.3046761545165,2918.6804530932313,4974.409352309033,21960.7286668603
730,1902.5830961370898,3219.3482428115017,5504.394016845774,23576.704269532383
740,1911.7980249782172,3215.132036015104,5395.191925646238,21804.686145803083
750,2365.7143769968075,3947.4511182108713,6561.40638977636,27081.27412140578
760,2593.577229160617,4267.4264304385715,7007.841882079578,28777.38512924775
770,2782.7035143769967,4592.2904443799025,7489.723206505955,30127.962997386003
780,2920.0449027011323,4722.086203891955,7631.066453674121,30221.574208539063
790,3127.8089456869016,5057.648852744703,8126.900784199828,31434.128841126934
800,3122.0820214928845,4992.67528318327,7939.564042985768,30154.61010746442
810,3318.0016845774007,5301.328492593666,8312.685506825437,30708.25803078708
820,3162.938541969213,4996.6196921289575,7817.560848097589,28879.958466453674
830,3418.0997966889286,5410.678710426944,8445.019924484452,31007.70299157707
840,3135.588091780426,4982.932907348245,7725.709148997972,27476.236944525135
850,3011.046354923041,4718.666627940759,7328.4705779843325,25515.793145512693
860,3045.2070287539923,4763.347603833864,7384.139297124597,25372.76613418529
870,2807.1505082776616,4401.82741794946,6812.061051408649,23116.047981411546
880,2459.2939297124653,3897.384490270121,6086.396398489701,19646.043218123763
890,1969.096601800755,3230.3374382805687,5170.399767644495,16585.157885564913
900,1414.441010746442,2252.358989253558,3643.415509729887,10065.996688934076
910,1051.6151031077554,1533.1578855649154,2365.9898344467047,5851.309671797856
920,1767.8288120824905,2734.719663084526,4209.5818181818295,12531.674237583542
930,1613.67702584955,2558.0637815858267,4007.527563171654,12823.817252396177
940,1388.972698228288,2272.700609933194,3638.9359860586633,11637.650188788828
950,1109.6038338658147,1874.0369445251235,3161.4227127505083,10170.608771420273
960,746.8784780714475,1350.7072320650564,2482.6613999419073,7942.718791751367
970,603.0517571884965,1117.7533546325874,2033.0600638977621,6544.105431309904
980,551.8111530641886,1004.6446122567543,1839.6020911995354,5784.130351437704
990,442.8982863781585,812.4710426953246,1461.9481847226264,4422.3565495207695
1000,346.63868719140237,609.4390938135349,1102.6189369735687,3204.783154225963
